time,Speaker,text
00:00.8 - 00:08.5,robot,Nice to meet you and pepper. How are you welcome to have a chat with me? What's your name? 
,participant,My name is Mariana
00:09.8 - 00:11.4,participant,here is living in.
00:12.4 - 00:15.2,robot,Now I would like to ask you a couple of magical problems.
00:18.2 - 00:27.7,robot,So Amazon is another admirer Center and an admirers in Madame everyone admires Hannah right.
00:30.1 - 00:32.7,participant,Maybe when while admires and his mother right.
00:37.6 - 00:39.5,robot,dear Mariana yes.
00:44.4 - 00:45.2,participant,You're very funny.
01:00.1 - 01:02.9,robot,dear Mariana could you answer my question?
01:06.8 - 01:07.9,participant,the one about Anna?
01:12.6 - 01:22.1,robot,so who's on his mother and Meyer Center Anna admirer her mother everyone admirer is her mother so everyone admires Hannah right.
01:25.5 - 01:26.3,participant,um no
01:35.1 - 01:36.0,robot,You are correct.
