time,Speaker,text
00:00.0 - 00:07.5,robot,Nice to meet you and pepper. How are you welcome to the chat with me? What's your name?
,participant, My name is [name]
00:14.5 - 00:15.3,robot,"Hello, my friend."
00:22.2 - 00:26.2,robot,Now I would like to ask you a couple of magical problems. .
,participant,Yeah
00:30.8 - 00:40.4,robot,Suppose on his mother and Myers now and an admirer is her mother everyone or Myers her mother so everyone admires on them right.
00:41.9 - 00:42.3,participant,Yes.
00:48.0 - 00:49.9,robot,"Really, please try again."
00:52.5 - 01:04.3,participant,"Yes, yes "
,robot,suppose line is mother and admirer so now and I admires her mother everyone admirer so madam so everyone admires. I know right. Yes.
01:06.2 - 01:06.5,participant,"yes, yeah"
01:09.1 - 01:09.5,robot,"ah,"
01:12.2 - 01:13.3,robot,you are correct.
01:18.7 - 01:23.1,robot,"Does it make sense on his friend admires on it, but her mother doesn't it?"
01:24.8 - 01:25.3,participant,Yes.
01:39.7 - 01:42.5,robot,really please try again. 
,participant,Yes.
01:47.2 - 01:47.5,robot,"ah,,,"
01:50.2 - 01:51.1,robot,you are correct.
