time,Speaker,text
00:00.0 - 00:03.0,robot,I would like to ask you a couple of logical problems. 
,participant,Ok
00:05.2 - 00:14.8,participant,Suppose on his mothering admirer Center and I've admires her mother everyone admires her mother so everyone admire Santa right.
00:29.8 - 00:30.1,robot,Yes.
00:36.3 - 00:38.0,participant,"Really, please try again."
00:42.0 - 00:55.9,participant,Can you repeat the question
,robot, suppose on his mother admirer Center Anna admirer a sermona everyone in Myer is her mother so everyone their Senna right
,participant,"no, not right."
01:00.4 - 01:00.7,robot,"ah, "
01:06.0 - 01:07.1,robot,you are correct.
01:13.2 - 01:18.9,robot,"Does it make sense on his friend admires on it, but her mother doesn't it and "
01:24.9 - 01:26.0,participant,yes? It makes sense.
01:27.3 - 01:29.2,robot,"Really, please try again."
01:31.9 - 01:39.2,participant,"Can you repeat the question does it make sense on his friend admires on it, but her mother doesn't it?"
01:40.7 - 01:42.4,robot,"No, it doesn't."
01:45.3 - 01:48.2,participant,"I am sorry, maybe this question is too difficult."
01:52.8 - 01:54.2,robot,Let's change another question.
