time,Speaker,text
00:00.0 - 00:04.3,participant,what is your name Pepper? 
,robot,I would like to ask you a couple of word problems
,participant,ok
00:06.0 - 00:16.7,robot,There are only 66 people and they're playing around including 28 Girls by 17 shows how many teachers were there in total. 
,participant, I don't know.
00:20.9 - 00:36.6,participant,I don't know 
,robot,really? please try again 
,participant,say again
,robot,They're only 66 people and they're playing around including 28 girls boys hunting chairs. How many teachers were there in total
,participant, I don't know.
00:40.6 - 00:43.4,robot,Let's change another question
,participant,ok
