time,speaker,text
00:00.5 - 00:03.4,robot,Now I would like to ask you a couple of word problems.
00:06.7 - 00:13.8,participant,Yes sure. 
,robot,There are fine groups of four students. How many students are there in the class?
00:15.2 - 00:15.8,participant,20
00:19.6 - 00:23.2,robot,"well done, you are so smart. "
,participant,Thank you so much.
00:25.2 - 00:30.7,robot,"Each group has two pairs of scissors, how many pairs of scissors are there in total?"
00:34.2 - 00:34.7,participant,"12, "
00:36.3 - 00:37.4,participant,12 scissors
00:42.5 - 00:44.4,participant,eight scissors sorry eight
00:46.5 - 00:56.0,robot,"Each group has two pairs of scissors, how many pairs of scissors are there in total "
,participant,how many groups are there? Can you repeat?
01:02.2 - 01:09.4,robot,"No problem each group has two pairs of scissors, how many pairs of scissors are there in total?"
01:11.5 - 01:12.6,participant,ten scissors
01:18.8 - 01:20.9,robot,"Great, thank you for your answer."
