time,Speaker,text
00:00.0 - 00:01.4,robot,ask you a couple of math questions.
,participant,okey
00:03.0 - 00:11.1,robot,"Being in equals 10 the question, is is the vehicle 12?"
00:13.1 - 00:15.0,participant,"Oh my god, i need a pencil to answer that."
00:27.1 - 00:30.2,robot,Sorry say again
,participant,Can you repeat the question?
,participant,Can you please repeat the question?
00:36.8 - 00:46.4,robot,this is 4 and the next one's being in equals 10 the question? Is is the econ 12th?
00:49.4 - 00:53.6,participant,"No, "
,robot,"well done, you are so smart."
00:58.5 - 01:00.2,robot,Thank you for talking with me.
