userId,Timestamp,conditionA,conditionB,l_a,l_b,w_a,w_b,m_a,m_b,Did you enjoy talking to Pepper overall?,Was the conversation with Pepper fluent?,Was the conversation with Pepper easy?,Was the conversation with Pepper frustrating?,Was the conversation with Pepper boring?,Did you feel confused most of the time talking with Pepper?,Did you want to give up this conversation with Pepper,norm_average_a,norm_average_b,norm_l_a,norm_l_b,norm_w_a,norm_w_b,norm_m_a,norm_m_b
1,09/12/2021 11:11:00,4,5,4,0,0,5,4,0,4,2,2,4,2,4,3,0.75,1,0.8,0,0,1,0.8,0
2,13/12/2021 13:05:41,3,3,0,3,3,0,0,3,4,4,3,2,1,2,2,0.5,0.5,0,0.6,0.6,0,0,0.6
3,13/12/2021 14:29:52,3.5,1,2,0,0,1,5,0,4,4,3,3,1,2,1,0.625,0,0.4,0,0,0.2,1,0
4,14/12/2021 13:46:37,2.5,1,2,0,0,1,3,0,5,4,4,2,1,2,1,0.375,0,0.4,0,0,0.2,0.6,0
5,14/12/2021 14:38:09,5,5,0,5,5,0,0,5,5,4,3,3,3,4,3,1,1,0,1,1,0,0,1
6,15/12/2021 11:17:06,1.5,2,1,0,0,2,2,0,5,3,3,1,1,2,1,0.125,0.25,0.2,0,0,0.4,0.4,0
7,16/12/2021 12:44:22,3,3,0,4,3,0,0,2,5,2,4,1,1,3,1,0.5,0.5,0,0.8,0.6,0,0,0.4
8,13/01/2022 13:16:15,1,1,0,1,1,0,0,1,5,4,3,2,1,3,1,0,0,0,0.2,0.2,0,0,0.2
9,13/01/2022 15:57:25,3,3,3,0,0,3,3,0,5,5,3,2,2,2,1,0.5,0.5,0.6,0,0,0.6,0.6,0
10,13/01/2022 21:34:08,5,5,5,0,0,5,5,0,5,5,4,2,1,2,1,1,1,1,0,0,1,1,0
11,14/01/2022 13:17:02,2,3,0,4,2,0,0,2,5,5,4,1,1,2,1,0.25,0.5,0,0.8,0.4,0,0,0.4
12,17/01/2022 18:37:02,3,3.5,0,3,3,0,0,4,5,4,5,1,1,4,1,0.5,0.625,0,0.6,0.6,0,0,0.8
13,17/01/2022 18:38:44,3.5,4,4,0,0,4,3,0,4,4,4,2,3,2,2,0.625,0.75,0.8,0,0,0.8,0.6,0
14,24/01/2022 15:33:23,1.5,1,2,0,0,1,1,0,5,3,3,2,2,3,1,0.125,0,0.4,0,0,0.2,0.2,0
15,25/01/2022 11:45:20,1,2,0,2,1,0,0,2,5,5,4,2,1,3,1,0,0.25,0,0.4,0.2,0,0,0.4
16,02/02/2022 12:11:04,2.5,4,1,0,0,4,4,0,4,4,3,3,2,2,1,0.375,0.75,0.2,0,0,0.8,0.8,0
17,02/02/2022 16:02:21,1,2,0,3,1,0,0,1,5,5,5,1,1,2,1,0,0.25,0,0.6,0.2,0,0,0.2
18,03/02/2022 14:18:55,3,1.5,0,2,3,0,0,1,5,4,5,1,1,2,2,0.5,0.125,0,0.4,0.6,0,0,0.2
19,03/02/2022 15:11:22,2.5,2,2,0,0,2,3,0,5,5,5,1,1,1,1,0.375,0.25,0.4,0,0,0.4,0.6,0
20,08/02/2022 15:34:51,1,2,0,3,1,0,0,1,5,4,3,2,2,3,2,0,0.25,0,0.6,0.2,0,0,0.2
21,08/02/2022 16:50:04,1,1,1,0,0,1,1,0,5,4,3,3,2,2,1,0,0,0.2,0,0,0.2,0.2,0
22,24/02/2022 18:19:24,1,1,0,1,1,0,0,1,5,5,5,1,1,1,1,0,0,0,0.2,0.2,0,0,0.2
23,08/03/2022 12:13:27,2.5,4,2,0,0,4,3,0,5,3,3,1,1,1,1,0.375,0.75,0.4,0,0,0.8,0.6,0
24,08/03/2022 14:14:40,2,2,0,2,2,0,0,2,4,4,3,3,1,4,1,0.25,0.25,0,0.4,0.4,0,0,0.4
25,10/03/2022 15:33:23,2.5,1,3,0,0,1,2,0,5,4,4,2,1,2,1,0.375,0,0.6,0,0,0.2,0.4,0
26,10/03/2022 16:10:23,1,1,0,1,1,0,0,1,4,3,2,2,2,2,2,0,0,0,0.2,0.2,0,0,0.2
27,15/03/2022 12:47:01,3,4,0,4,3,0,0,4,4,4,3,3,1,4,1,0.5,0.75,0,0.8,0.6,0,0,0.8
28,15/03/2022 14:18:16,4,1,0,1,4,0,0,1,5,4,4,2,1,2,1,0.75,0,0,0.2,0.8,0,0,0.2
29,15/03/2022 15:17:56,2.5,4,4,0,0,4,1,0,4,3,2,2,2,2,2,0.375,0.75,0.8,0,0,0.8,0.2,0
